sno,deptName,courseName,semId,sectionId,subjectName,facultyName
42,MECH,Btech,semester3,section2,"Mechanics of Solids (Lab)","Dr. Emily Allen"
43,MECH,Btech,semester4,section1,"Machine Design-I","Prof. Richard Turner"
44,MECH,Btech,semester4,section1,"Manufacturing Processes-II","Prof. Eric Mitchell"
45,MECH,Btech,semester4,section1,"Theory of Machines-I","Dr. Laura Parker"
46,MECH,Btech,semester4,section1,"Numerical Methods","Prof Praneeth"
47,MECH,Btech,semester4,section1,"Control Engineering-I","Prof. Sarah Roberts"
48,MECH,Btech,semester4,section1,"Machine Design-I (Lab)","Prof. Thomas Wilson"
49,MECH,Btech,semester4,section1,"Control Engineering-I (Lab)","Prof. Sarah Roberts"
50,MECH,Btech,semester4,section2,"Machine Design-I","Dr. Melissa Green"
51,MECH,Btech,semester4,section2,"Manufacturing Processes-II","Dr. Emily Allen"
52,MECH,Btech,semester4,section2,"Theory of Machines-I","Prof. Brian Martinez"
53,MECH,Btech,semester4,section2,"Numerical Methods","Dr Srikar varma"
54,MECH,Btech,semester4,section2,"Control Engineering-I","Dr. Jason Young"
55,MECH,Btech,semester4,section2,"Machine Design-I (Lab)","Dr. Jessica Turner"
56,MECH,Btech,semester4,section2,"Control Engineering-I (Lab)","Dr. Jason Young"
57,MECH,Btech,semester5,section1,"Machine Design-II","Dr. Amanda Reed"
58,MECH,Btech,semester5,section1,"Thermal Engineering-I","Dr. Rachel Scott"
59,MECH,Btech,semester5,section1,"Heat Transfer","Dr. Laura Parker"
60,MECH,Btech,semester5,section1,"Manufacturing Processes-III","Prof. Eric Mitchell"
61,MECH,Btech,semester5,section1,CAD/CAM,"Dr. Rachel Scott"
62,MECH,Btech,semester5,section1,"Heat Transfer (Lab)","Prof. Richard Turner"
63,MECH,Btech,semester5,section1,"CAD/CAM (Lab)","Dr. Melissa Green"
64,MECH,Btech,semester5,section2,"Machine Design-II","Prof. Eric Mitchell"
65,MECH,Btech,semester5,section2,"Thermal Engineering-I","Dr. Laura Parker"
66,MECH,Btech,semester5,section2,"Heat Transfer","Prof. Patrick Turner"
67,MECH,Btech,semester5,section2,"Manufacturing Processes-III","Prof. Thomas Wilson"
68,MECH,Btech,semester5,section2,CAD/CAM,"Prof. Eric Mitchell"
69,MECH,Btech,semester5,section2,"Heat Transfer (Lab)","Prof. Patrick Turner"
70,MECH,Btech,semester5,section2,"CAD/CAM (Lab)","Prof. Eric Mitchell"
71,MECH,Btech,semester6,section1,"Thermal Engineering-II","Prof. Brian Martinez"
72,MECH,Btech,semester6,section1,"Refrigeration and Air Conditioning","Dr. Rachel Scott"
73,MECH,Btech,semester6,section1,"Power Plant Engineering","Prof. Eric Mitchell"
74,MECH,Btech,semester6,section1,"Dynamics of Machinery","Dr. Emily Allen"
75,MECH,Btech,semester6,section1,"Finite Element Analysis","Prof. Richard Turner"
76,MECH,Btech,semester6,section1,"Power Plant Engineering (Lab)","Prof. Thomas Wilson"
77,MECH,Btech,semester6,section1,"Finite Element Analysis (Lab)","Prof. Brian Martinez"
78,MECH,Btech,semester6,section2,"Thermal Engineering-II","Dr. Jessica Turner"
79,MECH,Btech,semester6,section2,"Refrigeration and Air Conditioning","Dr. Rachel Scott"
80,MECH,Btech,semester6,section2,"Power Plant Engineering","Dr. Laura Parker"
81,MECH,Btech,semester6,section2,"Dynamics of Machinery","Prof. Patrick Turner"
82,MECH,Btech,semester6,section2,"Finite Element Analysis","Prof. Richard Turner"
83,MECH,Btech,semester6,section2,"Power Plant Engineering (Lab)","Prof. Thomas Wilson"
84,MECH,Btech,semester6,section2,"Finite Element Analysis (Lab)","Prof. Richard Turner"
85,MECH,Btech,semester7,section1,"Robotics and Automation","Prof. Eric Mitchell"
86,MECH,Btech,semester7,section1,"Energy Management","Prof. Brian Martinez"
87,MECH,Btech,semester7,section1,Mechatronics,"Prof. Eric Mitchell"
88,MECH,Btech,semester7,section1,"Automotive Engineering","Dr. Emily Allen"
89,MECH,Btech,semester7,section1,Elective-I,"Dr. Laura Parker"
90,MECH,Btech,semester7,section1,"Mechatronics (Lab)","Prof. Eric Mitchell"
91,MECH,Btech,semester7,section1,"Automotive Engineering (Lab)","Dr. Emily Allen"
92,MECH,Btech,semester7,section2,"Robotics and Automation","Dr. Amanda Reed"
93,MECH,Btech,semester7,section2,"Energy Management","Prof. Matthew Harris"
94,MECH,Btech,semester7,section2,Mechatronics,"Dr. Melissa Green"
95,MECH,Btech,semester7,section2,"Automotive Engineering","Dr. Jessica Turner"
96,MECH,Btech,semester7,section2,Elective-I,"Prof. Eric Mitchell"
97,MECH,Btech,semester7,section2,"Mechatronics (Lab)","Dr. Melissa Green"
98,MECH,Btech,semester7,section2,"Automotive Engineering (Lab)","Dr. Jessica Turner"
99,MECH,Btech,semester8,section1,"Project Work",optional
100,MECH,Btech,semester8,section2,"Project Work",optional
101,MECH,Mtech,semester1,section1,"Advanced Heat Transfer","Prof. Richard Turner"
102,MECH,Mtech,semester1,section1,"Thermodynamics of Fluid Flow","Dr. Laura Parker"
103,MECH,Mtech,semester1,section1,"ComPutational Fluid Dynamics","Prof. Thomas Wilson"
104,MECH,Mtech,semester1,section1,"Advanced Thermodynamics","Dr. Jessica Turner"
105,MECH,Mtech,semester1,section1,"Mathematical Methods in Thermal Engg.","Prof. Matthew Harris"
106,MECH,Mtech,semester1,section2,"Advanced Heat Transfer","Dr. Rachel Scott"
107,MECH,Mtech,semester1,section2,"Thermodynamics of Fluid Flow","Prof. Brian Martinez"
108,MECH,Mtech,semester1,section2,"ComPutational Fluid Dynamics","Dr. Melissa Green"
109,MECH,Mtech,semester1,section2,"Advanced Thermodynamics","Prof. Patrick Turner"
110,MECH,Mtech,semester1,section2,"Mathematical Methods in Thermal Engg.","Dr. Emily Allen"
111,MECH,Mtech,semester2,section1,"ExPerimental Techniques in Heat Transfer","Dr. Jessica Turner"
112,MECH,Mtech,semester2,section1,"Conduction Heat Transfer","Prof. Matthew Harris"
113,MECH,Mtech,semester2,section1,"Radiation Heat Transfer","Dr. Amanda Reed"
114,MECH,Mtech,semester2,section1,"Heat Exchangers","Prof. Eric Mitchell"
115,MECH,Mtech,semester2,section1,"Thermal System Design","Prof. Patrick Turner"
116,MECH,Mtech,semester2,section2,"ExPerimental Techniques in Heat Transfer","Prof. Brian Martinez"
117,MECH,Mtech,semester2,section2,"Conduction Heat Transfer","Prof. Patrick Turner"
118,MECH,Mtech,semester2,section2,"Radiation Heat Transfer","Dr. Rachel Scott"
119,MECH,Mtech,semester2,section2,"Heat Exchangers","Prof. Thomas Wilson"
120,MECH,Mtech,semester2,section2,"Thermal System Design","Prof. Matthew Harris"
121,MECH,Mtech,semester3,section1,"Combustion and Emission Control","Prof. Thomas Wilson"
122,MECH,Mtech,semester3,section1,"Power Plant Engineering","Dr. Jessica Turner"
123,MECH,Mtech,semester3,section1,"Refrigeration and Air Conditioning","Prof. Matthew Harris"
124,MECH,Mtech,semester3,section2,"Combustion and Emission Control","Dr. Rachel Scott"
125,MECH,Mtech,semester3,section2,"Power Plant Engineering","Prof. Brian Martinez"
126,MECH,Mtech,semester3,section2,"Refrigeration and Air Conditioning","Dr. Melissa Green"
127,MECH,Mtech,semester4,section1,"Dissertation (Thesis)",optional
128,MECH,Mtech,semester4,section2,"Dissertation (Thesis)",optional
129,CSE,Btech,semester1,section1,"Engineering Mathematics-I",R.Praneeth
130,CSE,Btech,semester1,section1,Physics,P.Sravika
131,CSE,Btech,semester1,section1,"Introduction to ComPuter Science",M.Srikanth
132,CSE,Btech,semester1,section1,"Digital Logic and Design",K.Madhuri
133,CSE,Btech,semester1,section1,"Engineering GraPhics (Lab)",A.Shubodhaya
134,CSE,Btech,semester1,section1,"Programming Lab (C)",S.Kranthi
135,CSE,Btech,semester1,section1,"Digital Logic and Design Lab",K.Madhuri
136,CSE,Btech,semester1,section2,"Engineering Mathematics-I",R.Praneeth
137,CSE,Btech,semester1,section2,Physics,K.Padma
138,CSE,Btech,semester1,section2,"Introduction to ComPuter Science",P.Jagadish
139,CSE,Btech,semester1,section2,"Digital Logic and Design",C.vijayKumar
140,CSE,Btech,semester1,section2,"Engineering GraPhics (Lab)",A.Shubodhaya
141,CSE,Btech,semester1,section2,"Programming Lab (C)",M.Srikanth
142,CSE,Btech,semester1,section2,"Digital Logic and Design Lab",C.vijayKumar
143,CSE,Btech,semester2,section1,"Engineering Mathematics-II",V.Srikar
144,CSE,Btech,semester2,section1,"Data Structures and Algorithms",K.HimaBindu
145,CSE,Btech,semester2,section1,"Object-Oriented Programming",S.Neeraja
146,CSE,Btech,semester2,section1,"ComPuter Organization and Architecture",M.Srikanth
147,CSE,Btech,semester2,section1,"Discrete Mathematics",D.Manohar
148,CSE,Btech,semester2,section1,"Data Structures and Algorithms Lab",K.HimaBindu
149,CSE,Btech,semester2,section1,"Object-Oriented Programming Lab",S.Neeraja
150,CSE,Btech,semester2,section2,"Engineering Mathematics-II",V.Srikar
151,CSE,Btech,semester2,section2,"Data Structures and Algorithms",Y.Haneesha
152,CSE,Btech,semester2,section2,"Object-Oriented Programming",S.Amrutha
153,CSE,Btech,semester2,section2,"ComPuter Organization and Architecture",H.Maruthi
154,CSE,Btech,semester2,section2,"Discrete Mathematics",D.Manohar
155,CSE,Btech,semester2,section2,"Data Structures and Algorithms Lab",Y.Haneesha
156,CSE,Btech,semester2,section2,"Object-Oriented Programming Lab",S.Amrutha
157,CSE,Btech,semester3,section1,"Database Management Systems",K.HimaBindu
158,CSE,Btech,semester3,section1,"OPerating Systems",S.Neeraja
159,CSE,Btech,semester3,section1,"ComPuter Networks",M.Srikanth
160,CSE,Btech,semester3,section1,"Theory of ComPutation",Y.Harsha
161,CSE,Btech,semester3,section1,"MicroProcessors and Microcontrollers",Dr.Gowri
162,CSE,Btech,semester3,section1,"Database Management Systems Lab",K.HimaBindu
163,CSE,Btech,semester3,section1,"OPerating Systems Lab",S.Neeraja
164,CSE,Btech,semester3,section2,"Database Management Systems",K.Madhuri
165,CSE,Btech,semester3,section2,"OPerating Systems",S.Kranthi
166,CSE,Btech,semester3,section2,"ComPuter Networks",P.Jagadish
167,CSE,Btech,semester3,section2,"Theory of ComPutation",C.D.Janaki
168,CSE,Btech,semester3,section2,"MicroProcessors and Microcontrollers",Dr.Mohan
169,CSE,Btech,semester3,section2,"Database Management Systems Lab",K.HimaBindu
170,CSE,Btech,semester3,section2,"OPerating Systems Lab",S.Neeraja
171,CSE,Btech,semester4,section1,"Software Engineering",C.vijayKumar
172,CSE,Btech,semester4,section1,"ComPiler Design",Y.Haneesha
173,CSE,Btech,semester4,section1,"Artificial Intelligence",Y.Harsha
174,CSE,Btech,semester4,section1,"Web Technologies",S.Amrutha
175,CSE,Btech,semester4,section1,"Numerical Methods",V.Srikar
176,CSE,Btech,semester4,section1,"Software Engineering Lab",C.vijayKumar
177,CSE,Btech,semester4,section1,"Artificial Intelligence Lab",Y.Harsha
178,CSE,Btech,semester4,section2,"Software Engineering",M.Srikanth
179,CSE,Btech,semester4,section2,"ComPiler Design",S.Neeraja
180,CSE,Btech,semester4,section2,"Artificial Intelligence",H.Maruthi
181,CSE,Btech,semester4,section2,"Web Technologies",Y.Haneesha
182,CSE,Btech,semester4,section2,"Numerical Methods",R.Praneeth
183,CSE,Btech,semester4,section2,"Software Engineering Lab",M.Srikanth
184,CSE,Btech,semester4,section2,"Artificial Intelligence Lab",Y.Harsha
185,CSE,Btech,semester5,section1,"Cloud ComPuting",S.Kranthi
186,CSE,Btech,semester5,section1,"Big Data Analytics",C.D.Janaki
187,CSE,Btech,semester5,section1,"Mobile APPlication DeveloPment",Y.Harsha
188,CSE,Btech,semester5,section1,Cybersecurity,K.Madhuri
189,CSE,Btech,semester5,section1,"Internet of Things (IoT)",S.Amrutha
190,CSE,Btech,semester5,section1,"Cloud ComPuting Lab",S.Kranthi
191,CSE,Btech,semester5,section1,"Mobile APPlication DeveloPment Lab",Y.Harsha
192,CSE,Btech,semester5,section2,"Cloud ComPuting",P.Jagadish
193,CSE,Btech,semester5,section2,"Big Data Analytics",H.Maruthi
194,CSE,Btech,semester5,section2,"Mobile APPlication DeveloPment",K.Madhuri
195,CSE,Btech,semester5,section2,Cybersecurity,Y.Haneesha
196,CSE,Btech,semester5,section2,"Internet of Things (IoT)",M.Srikanth
197,CSE,Btech,semester5,section2,"Cloud ComPuting Lab",P.Jagadish
198,CSE,Btech,semester5,section2,"Mobile APPlication DeveloPment Lab",Y.Harsha
199,CSE,Btech,semester6,section1,"Machine Learning",K.HimaBindu
200,CSE,Btech,semester6,section1,"Distributed Systems",M.Srikanth
201,CSE,Btech,semester6,section1,"Natural Language Processing",H.Maruthi
202,CSE,Btech,semester6,section1,"Software Testing and Quality Assurance",S.Neeraja
203,CSE,Btech,semester6,section1,"Robotics and Automation",Dr.Sunitha
204,CSE,Btech,semester6,section1,"Machine Learning Lab",K.HimaBindu
205,CSE,Btech,semester6,section1,"Robotics and Automation Lab",Dr.Sunitha
206,CSE,Btech,semester6,section2,"Machine Learning",C.vijayKumar
207,CSE,Btech,semester6,section2,"Distributed Systems",S.Kranthi
208,CSE,Btech,semester6,section2,"Natural Language Processing",S.Amrutha
209,CSE,Btech,semester6,section2,"Software Testing and Quality Assurance",C.D.Janaki
210,CSE,Btech,semester6,section2,"Robotics and Automation","prof. Aruna"
211,CSE,Btech,semester6,section2,"Machine Learning Lab",C.vijayKumar
212,CSE,Btech,semester6,section2,"Robotics and Automation Lab",prof.Aruna
213,CSE,Btech,semester7,section1,"Data Science",Y.Harsha
214,CSE,Btech,semester7,section1,"Blockchain Technology",P.Jagadish
215,CSE,Btech,semester7,section1,"Advanced ComPuter Networks",M.Srikanth
216,CSE,Btech,semester7,section1,"Image Processing and ComPuter Vision",S.Neeraja
217,CSE,Btech,semester7,section1,"Software Project Management",H.Maruthi
218,CSE,Btech,semester7,section1,"Data Science Lab",Y.Harsha
219,CSE,Btech,semester7,section1,"Blockchain Technology Lab",P.Jagadish
220,CSE,Btech,semester7,section2,"Data Science",S.Kranthi
221,CSE,Btech,semester7,section2,"Blockchain Technology",Y.Haneesha
222,CSE,Btech,semester7,section2,"Advanced ComPuter Networks",S.Neeraja
223,CSE,Btech,semester7,section2,"Image Processing and ComPuter Vision",C.D.Janaki
224,CSE,Btech,semester7,section2,"Software Project Management",S.Amrutha
225,CSE,Btech,semester7,section2,"Data Science Lab",S.Kranthi
226,CSE,Btech,semester7,section2,"Blockchain Technology Lab",Y.Haneesha
227,CSE,Btech,semester8,section1,Project,optional
228,CSE,Btech,semester8,section2,project,optional
229,CSE,Mtech,semester1,section1,"Foundations of Cyber Security",C.D.Janaki
230,CSE,Mtech,semester1,section1,"Network Security",S.Neeraja
231,CSE,Mtech,semester1,section1,"CryPtograPhy and Data Security",H.Maruthi
232,CSE,Mtech,semester1,section1,"Cyber Threat Intelligence",C.vijayKumar
233,CSE,Mtech,semester1,section1,"Cyber Security Lab",C.D.Janaki
234,CSE,Mtech,semester1,section2,"Foundations of Cyber Security",Y.Harsha
235,CSE,Mtech,semester1,section2,"Network Security",K.Madhuri
236,CSE,Mtech,semester1,section2,"CryPtograPhy and Data Security",S.Kranthi
237,CSE,Mtech,semester1,section2,"Cyber Threat Intelligence",S.Neeraja
238,CSE,Mtech,semester1,section2,"Cyber Security Lab",Y.Harsha
239,CSE,Mtech,semester2,section1,"Web APPlication Security",Y.Haneesha
240,CSE,Mtech,semester2,section1,"Secure Coding and Ethical Hacking",S.Amrutha
241,CSE,Mtech,semester2,section1,"Intrusion Detection and Prevention",C.D.Janaki
242,CSE,Mtech,semester2,section1,"Cloud Security",H.Maruthi
243,CSE,Mtech,semester2,section1,"Web APPlication Security Lab",Y.Haneesha
244,CSE,Mtech,semester2,section2,"Web APPlication Security",P.Jagadish
245,CSE,Mtech,semester2,section2,"Secure Coding and Ethical Hacking",C.vijayKumar
246,CSE,Mtech,semester2,section2,"Intrusion Detection and Prevention",K.HimaBindu
247,CSE,Mtech,semester2,section2,"Cloud Security",S.Neeraja
248,CSE,Mtech,semester2,section2,"Web APPlication Security Lab",P.Jagadish
249,CSE,Mtech,semester3,section1,"Cyber Forensics",S.Amrutha
250,CSE,Mtech,semester3,section1,"Mobile Security",K.Madhuri
251,CSE,Mtech,semester3,section1,"Wireless and IoT Security",C.D.Janaki
252,CSE,Mtech,semester3,section2,"Cyber Forensics",M.Srikanth
253,CSE,Mtech,semester3,section2,"Mobile Security",P.Jagadish
254,CSE,Mtech,semester3,section2,"Wireless and IoT Security",C.vijayKumar
255,CSE,Mtech,semester4,section1,"Dissertation (Thesis)",optional
256,CSE,Mtech,semester4,section2,"Dissertation (Thesis)",optional
257,ECE,Btech,semester1,section1,"Engineering Mathematics-I",Prof.Praneeth
258,ECE,Btech,semester1,section1,Physics,Prof.Sravika
259,ECE,Btech,semester1,section1,"Introduction to Electronics Engineering","Prof. David Johnson"
260,ECE,Btech,semester1,section1,"ComPuter Programming","Dr.Megan Clak"
261,ECE,Btech,semester1,section1,"Engineering GraPhics (Lab)","Prof. Jennifer Roberts"
262,ECE,Btech,semester1,section1,"Electronics WorkshoP (Lab)","Prof.Rachel Scott"
263,ECE,Btech,semester1,section1,"ComPuter Programming (Lab)","Dr.Megan Clak"
264,ECE,Btech,semester1,section2,"Engineering Mathematics-I","Dr.Srikar varma"
265,ECE,Btech,semester1,section2,Physics,Prof.Padmavathi
266,ECE,Btech,semester1,section2,"Introduction to Electronics Engineering","Prof. Laura Turner"
267,ECE,Btech,semester1,section2,"ComPuter Programming","Prof. Ryan White"
268,ECE,Btech,semester1,section2,"Engineering GraPhics (Lab)","Prof. Jennifer Roberts"
269,ECE,Btech,semester1,section2,"Electronics WorkshoP (Lab)","Prof. Laura Turner"
270,ECE,Btech,semester1,section2,"ComPuter Programming (Lab)","Prof. Christopher Wilson"
271,ECE,Btech,semester2,section1,"Engineering Mathematics-II","Dr.Srikar varma"
272,ECE,Btech,semester2,section1,"Circuit Theory","Dr. Emily Anderson"
273,ECE,Btech,semester2,section1,"Electronic Devices and Circuits","Prof. Michael Carter"
274,ECE,Btech,semester2,section1,"Electromagnetic Theory","Dr. Sophia Lee"
275,ECE,Btech,semester2,section1,"Network Analysis","Prof. David Johnson"
276,ECE,Btech,semester2,section1,"Electronic Devices and Circuits (Lab)","Prof. Michael Carter"
277,ECE,Btech,semester2,section1,"Network Analysis (Lab)","Prof. David Johnson"
278,ECE,Btech,semester2,section2,"Engineering Mathematics-II",Prof.Praneeth
279,ECE,Btech,semester2,section2,"Circuit Theory","Dr. Daniel Brown"
280,ECE,Btech,semester2,section2,"Electronic Devices and Circuits","Prof. Laura Turner"
281,ECE,Btech,semester2,section2,"Electromagnetic Theory","Dr. Benjamin Reed"
282,ECE,Btech,semester2,section2,"Network Analysis","Prof. Jennifer Roberts"
283,ECE,Btech,semester2,section2,"Electronic Devices and Circuits (Lab)","Prof. Laura Turner"
284,ECE,Btech,semester2,section2,"Network Analysis (Lab)","Prof. Jennifer Roberts"
285,ECE,Btech,semester3,section1,"Signals and Systems","Dr. William Allen"
286,ECE,Btech,semester3,section1,"Digital Electronics","Prof. Elizabeth Scott"
287,ECE,Btech,semester3,section1,"Analog Electronics","Dr. Samuel Hall"
288,ECE,Btech,semester3,section1,"Electromagnetic Waves and Transmission Lines","Prof. Catherine Young"
289,ECE,Btech,semester3,section1,"Digital Signal Processing","Dr. Sophia Lee"
290,ECE,Btech,semester3,section1,"Analog Electronics (Lab)","Dr. Samuel Hall"
291,ECE,Btech,semester3,section1,"Digital Electronics (Lab)","Prof. Elizabeth Scott"
292,ECE,Btech,semester3,section2,"Signals and Systems","Prof. Catherine Young"
293,ECE,Btech,semester3,section2,"Digital Electronics","Prof. Michael Carter"
294,ECE,Btech,semester3,section2,"Analog Electronics","Dr. Sophia Lee"
295,ECE,Btech,semester3,section2,"Electromagnetic Waves and Transmission Lines","Prof. David Johnson"
296,ECE,Btech,semester3,section2,"Digital Signal Processing","Dr. William Allen"
297,ECE,Btech,semester3,section2,"Analog Electronics (Lab)","Dr. Sophia Lee"
298,ECE,Btech,semester3,section2,"Digital Electronics (Lab)","Prof. Elizabeth Scott"
299,ECE,Btech,semester4,section1,"MicroProcessors and Microcontrollers",Dr.Mohan
300,ECE,Btech,semester4,section1,"Communication Systems","Prof. Catherine Young"
301,ECE,Btech,semester4,section1,"Control Systems","Dr. Samuel Hall"
302,ECE,Btech,semester4,section1,"Antenna Theory and Design","Prof. Laura Turner"
303,ECE,Btech,semester4,section1,"Power Electronics","Dr. William Allen"
304,ECE,Btech,semester4,section1,"MicroProcessors and Microcontrollers (Lab)",Dr.Mohan
305,ECE,Btech,semester4,section1,"Communication Systems (Lab)","Dr. Sophia Lee"
306,ECE,Btech,semester4,section2,"MicroProcessors and Microcontrollers",Dr.Gowari
307,ECE,Btech,semester4,section2,"Communication Systems","Prof. David Johnson"
308,ECE,Btech,semester4,section2,"Control Systems","Prof. Michael Carter"
309,ECE,Btech,semester4,section2,"Antenna Theory and Design","Dr. William Allen"
310,ECE,Btech,semester4,section2,"Power Electronics","Prof. Jennifer Roberts"
311,ECE,Btech,semester4,section2,"MicroProcessors and Microcontrollers (Lab)",Dr.Gowari
312,ECE,Btech,semester4,section2,"Communication Systems (Lab)","Prof. David Johnson"
313,ECE,Btech,semester5,section1,"VLSI Design",Dr.Mohan
314,ECE,Btech,semester5,section1,"Digital Communication",Dr.Gowari
315,ECE,Btech,semester5,section1,"Microwave Engineering","Prof. Catherine Young"
316,ECE,Btech,semester5,section1,"Embedded Systems","Dr. Samuel Hall"
317,ECE,Btech,semester5,section1,"Control System Design","Prof. Elizabeth Scott"
318,ECE,Btech,semester5,section1,"VLSI Design (Lab)",prof.Bindu
319,ECE,Btech,semester5,section1,"Microwave Engineering (Lab)","Dr. Samuel Hall"
320,ECE,Btech,semester5,section2,"VLSI Design",prof.Bindu
321,ECE,Btech,semester5,section2,"Digital Communication","Prof. Michael Carter"
322,ECE,Btech,semester5,section2,"Microwave Engineering","Dr. Emily Anderson"
323,ECE,Btech,semester5,section2,"Embedded Systems","Dr. Sophia Lee"
324,ECE,Btech,semester5,section2,"Control System Design","Prof. David Johnson"
325,ECE,Btech,semester5,section2,"VLSI Design (Lab)",prof.Bindu
326,ECE,Btech,semester5,section2,"Microwave Engineering (Lab)","Dr. Emily Anderson"
327,ECE,Btech,semester6,section1,"Digital System Design using HDL",Dr.Mohan
328,ECE,Btech,semester6,section1,"RF and Microwave Circuits",Dr.Gowari
329,ECE,Btech,semester6,section1,"Data Communication Networks","Prof. Catherine Young"
330,ECE,Btech,semester6,section1,"OPtical Communication Systems","Dr. Samuel Hall"
331,ECE,Btech,semester6,section1,"Digital Image Processing","Prof. Elizabeth Scott"
332,ECE,Btech,semester6,section1,"Digital System Design using HDL (Lab)",prof.Bindu
333,ECE,Btech,semester6,section1,"RF and Microwave Circuits (Lab)","Dr. Samuel Hall"
334,ECE,Btech,semester6,section2,"Digital System Design using HDL",prof.Bindu
335,ECE,Btech,semester6,section2,"RF and Microwave Circuits","Prof. Michael Carter"
336,ECE,Btech,semester6,section2,"Data Communication Networks","Dr. Emily Anderson"
337,ECE,Btech,semester6,section2,"OPtical Communication Systems","Dr. Sophia Lee"
338,ECE,Btech,semester6,section2,"Digital Image Processing","Prof. David Johnson"
339,ECE,Btech,semester6,section2,"Digital System Design using HDL (Lab)",prof.Bindu
340,ECE,Btech,semester6,section2,"RF and Microwave Circuits (Lab)","Dr. Emily Anderson"
341,ECE,Btech,semester7,section1,"Wireless Communication","Dr. William Allen"
342,ECE,Btech,semester7,section1,"Network Security","Prof. Elizabeth Scott"
343,ECE,Btech,semester7,section1,"Satellite Communication","Dr. Samuel Hall"
344,ECE,Btech,semester7,section1,"Digital Signal Processing APPlications","Prof. Catherine Young"
345,ECE,Btech,semester7,section1,"Biomedical Signal Processing","Dr. Sophia Lee"
346,ECE,Btech,semester7,section1,"Wireless Communication (Lab)","Dr. Samuel Hall"
347,ECE,Btech,semester7,section1,"Network Security (Lab)","Prof. Elizabeth Scott"
348,ECE,Btech,semester7,section2,"Wireless Communication","Prof. Catherine Young"
349,ECE,Btech,semester7,section2,"Network Security","Prof. Michael Carter"
350,ECE,Btech,semester7,section2,"Satellite Communication","Dr. Sophia Lee"
351,ECE,Btech,semester7,section2,"Digital Signal Processing APPlications","Prof. David Johnson"
